KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,1996,1.6744047991452016,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,1997,2.683461444071189,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,1998,2.9566149622653137,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,1999,2.985059183549832,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2000,3.856835093413369,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2001,2.158404718502882,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2002,0.9124702973201337,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2003,0.7209586353737363,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2004,2.295374183515597,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2005,1.753412472587823,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2006,3.3135236206466745,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2007,2.9965880343519213,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2008,0.4092846413704887,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2009,-4.456722255954393,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2010,2.0735142596382206,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2011,1.724023015847842,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2012,-0.9537674771771809,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
MNA.A.N.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR_R_B1GQ.Y.GOY,A,N,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR_R_B1GQ,Y,GOY,2013,-0.1797664580636904,A,F,,,,P1Y,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro; ratio to gross domestic product, Previous year prices, Contribution to growth rate, over 1 year, Neither seasonally adjusted nor calendar adjusted data",4F0,,,2,,,,,,,,S,"Gross domestic product at market prices, annual growth rate",,0,
